eval_batch_id,n_valid_tokens,avg_l0
0,1016,4363.619140625
1,1016,4680.1279296875
2,1016,4728.3671875
3,1016,4720.21435546875
4,1016,4286.32763671875
5,1016,4591.95947265625
6,1016,4832.18310546875
7,1016,4662.7724609375
8,1016,4315.84521484375
9,1016,5019.2666015625
10,1016,5322.4794921875
11,1016,4428.54052734375
12,1016,4563.68505859375
13,1016,4963.85546875
14,1016,5095.80224609375
15,1016,4245.04345703125
16,1016,4565.19970703125
17,1016,5438.724609375
18,1016,4911.642578125
19,1016,5348.61328125
20,1016,5069.7783203125
21,1016,4959.19482421875
22,1016,4815.09228515625
23,1016,4579.93896484375
24,1016,4167.93994140625
25,1016,4383.2294921875
26,1016,4122.80419921875
27,1016,4098.83056640625
28,1016,4084.857177734375
29,1016,4107.19189453125
30,1016,4538.7509765625
31,1016,4040.2578125
32,1016,4073.580810546875
33,1016,4138.67041015625
34,1016,4535.68310546875
35,1016,4355.1513671875
36,1016,4177.728515625
37,1016,4196.6259765625
38,1016,4252.3828125
39,1016,4151.5986328125
40,1016,4203.41650390625
41,1016,4124.8818359375
42,1016,4109.80712890625
43,1016,4118.1044921875
44,1016,4360.67333984375
45,1016,4147.2265625
46,1016,4065.07568359375
47,1016,4187.6201171875
48,1016,4141.4853515625
49,1016,4181.05517578125
50,1016,4062.8740234375
51,1016,4102.7216796875
52,1016,4117.28125
53,1016,4093.69970703125
54,1016,4240.95263671875
55,1016,4162.0263671875
56,1016,4261.7265625
57,1016,4109.2255859375
58,1016,4566.3525390625
59,1016,4143.509765625
60,1016,4073.45166015625
61,1016,4116.18505859375
62,1016,4048.92626953125
63,1016,4044.1298828125
