eval_batch_id,n_valid_tokens,reconstruction_loss
0,1016,0.036711111664772034
1,1016,0.04623694717884064
2,1016,0.062321942299604416
3,1016,0.04743753373622894
4,1016,0.04572439193725586
5,1016,0.05050451681017876
6,1016,0.057825710624456406
7,1016,0.05031556263566017
8,1016,0.04114904999732971
9,1016,0.05443862825632095
10,1016,0.06376244127750397
11,1016,0.039988987147808075
12,1016,0.044354844838380814
13,1016,0.0463205985724926
14,1016,0.05099210888147354
15,1016,0.032226402312517166
16,1016,0.03393813222646713
17,1016,0.05843241885304451
18,1016,0.05415574833750725
19,1016,0.062046270817518234
20,1016,0.043737586587667465
21,1016,0.05967789888381958
22,1016,0.05207269638776779
23,1016,0.0404478944838047
24,1016,0.02608649991452694
25,1016,0.02578175999224186
26,1016,0.02647201344370842
27,1016,0.024669257923960686
28,1016,0.030658531934022903
29,1016,0.024717018008232117
30,1016,0.0316229946911335
31,1016,0.02250654436647892
32,1016,0.024068007245659828
33,1016,0.026155469939112663
34,1016,0.03791304677724838
35,1016,0.02809528261423111
36,1016,0.024750078096985817
37,1016,0.022457802668213844
38,1016,0.025277070701122284
39,1016,0.02190476655960083
40,1016,0.02389630116522312
41,1016,0.023629795759916306
42,1016,0.02194521203637123
43,1016,0.022296007722616196
44,1016,0.029105359688401222
45,1016,0.024642860516905785
46,1016,0.022276537492871284
47,1016,0.028488537296652794
48,1016,0.02377576008439064
49,1016,0.026427583768963814
50,1016,0.02351938746869564
51,1016,0.024219205603003502
52,1016,0.023981714621186256
53,1016,0.024752100929617882
54,1016,0.023119231685996056
55,1016,0.02371540665626526
56,1016,0.02902979962527752
57,1016,0.023300930857658386
58,1016,0.03221225365996361
59,1016,0.023592166602611542
60,1016,0.021177319809794426
61,1016,0.024606797844171524
62,1016,0.022958705201745033
63,1016,0.021479349583387375
