eval_batch_id,n_valid_tokens,reconstruction_loss
0,8160,0.011005375534296036
1,8160,0.011705677025020123
2,8160,0.011121820658445358
3,8160,0.009724178351461887
4,8160,0.0119600435718894
5,8160,0.010518403723835945
6,8160,0.004576886538416147
7,8160,0.005114160943776369
8,8160,0.005701684392988682
9,8160,0.004509601276367903
10,8160,0.004072578623890877
11,8160,0.004834813065826893
12,8160,0.0042165732011199
13,8160,0.00420730235055089
14,8160,0.004844680428504944
15,8160,0.0036133774556219578
16,8160,0.004206560552120209
17,8160,0.004065202083438635
18,8100,0.004495266359299421
19,8057,0.0043025086633861065
20,8160,0.0039049540646374226
21,8160,0.0037220234517008066
22,8160,0.00421639159321785
23,8160,0.004430110566318035
24,8160,0.003559896256774664
25,8160,0.004800647962838411
26,8160,0.004116502124816179
27,8126,0.003822779981419444
28,8160,0.00512922927737236
29,8160,0.004444021265953779
30,8160,0.004939049016684294
31,8160,0.003958227578550577
32,8160,0.0039281658828258514
33,8160,0.004270556382834911
34,8160,0.004512577783316374
35,8160,0.0056284088641405106
36,8160,0.0038065235130488873
37,8160,0.003990645054727793
38,8160,0.003973343875259161
39,8160,0.003880310570821166
40,8160,0.0038906941190361977
41,8126,0.00392804853618145
42,8160,0.0039295912720263
43,8160,0.0036228576209396124
44,8160,0.004398767836391926
45,8160,0.0031954371370375156
46,8160,0.003827683860436082
47,8160,0.0034072361886501312
48,8160,0.003247953951358795
49,8160,0.0038944431580603123
50,8160,0.0032336220610886812
51,8160,0.003760949242860079
52,8160,0.0041956487111747265
53,8160,0.0036666812375187874
54,8160,0.003552527166903019
55,8160,0.003354666056111455
56,8160,0.0036341112572699785
57,8160,0.005250736605376005
58,8160,0.0057569402270019054
59,8160,0.006128889974206686
60,8160,0.004935550503432751
61,8160,0.004672085400670767
62,8160,0.0045789685100317
63,8160,0.003494477132335305
